year,gdp_growth,inflation,unemployment,gdp_per_capita,population,food_production_index,cereal_yield,cereal_production_tonnes,agricultural_land_pct,dietary_energy_supply_adequacy,economic_stress_score,data_completeness_score,latitude,longitude,food_pressure_score,income_group_Low_income,income_group_Lower_middle_income,income_group_Not_classified,income_group_Upper_middle_income,inflation_unemployment,inflation_minus_growth,inflation_squared
2022,10.299999301348668,7.98518671835033,5.337,10.341000237495978,11.583486439673765,106.08,3239.7,14.638035077502668,11.1111,125.0,14.7,35.0,12.5167,-70.0167,50.60404112547017,False,False,False,False,42.61694151583571,-2.3148125829983384,63.763206926918514
2002,10.299999301348668,2.907996885877615,7.867,5.192701753795908,16.877878433493937,74.72,1669.8,15.133793976061911,57.8838,97.0,51.71,75.0,34.5228,69.1761,70.91076317606108,True,False,False,False,22.8772115011992,-7.392002415471053,8.456445888273906
2003,8.83227780288267,3.02504526252236,7.844,5.297672737462982,16.939330370724804,76.77,1458.0,15.292787795054398,58.0278,97.0,55.9,75.0,34.5228,69.1761,73.93277475860098,True,False,False,False,23.72845503922539,-5.80723254036031,9.150898840308972
2004,1.41411799339429,3.51799903099596,7.794,5.406111361320887,16.975088717719444,74.75,1334.8,15.08527138372705,58.0952,97.0,76.75,75.0,34.5228,69.1761,76.41917825299032,True,False,False,False,27.419284447582513,2.10388103760167,12.376317182088515
2005,10.299999301348668,12.6862687216715,7.878,5.541985829931637,17.010280885855995,83.54,1790.4,15.506528641722577,58.0783,97.0,63.26,100.0,34.5228,69.1761,68.11692856688983,True,False,False,False,99.94242498932807,2.386269420322831,160.9414140784606
2006,5.35740324748592,6.78459655001655,7.897,5.617565522251692,17.05120790437846,77.31,1551.7,15.349794012407768,58.0676,97.0,69.45,100.0,34.5228,69.1761,76.24459042348651,True,False,False,False,53.577958955480696,1.4271933025306298,46.030750346496475
2007,10.299999301348668,8.68057078513405,7.841,5.932836927464993,17.07013387903706,84.65,1915.3,15.570951937349172,58.0737,97.0,61.48,100.0,34.5228,69.1761,69.12818263614082,True,False,False,False,68.06435552623608,-1.6194285162146187,75.35230915572278
2008,3.92498381999467,15.438486221558357,7.879,5.9473382400541785,17.09199934001861,79.59,1455.4,15.18922639004183,58.0768,99.0,77.46,100.0,34.5228,69.1761,77.86253350661241,True,False,False,False,121.63983293965829,11.513502401563686,238.34685681324723
2009,10.299999301348668,-0.2732499966196445,7.808,6.116010673592889,17.12846314774784,92.24,2040.7,15.68946441833381,58.0768,102.0,38.93,100.0,34.5228,69.1761,64.74153798424976,True,False,False,False,-2.1335359736061843,-10.573249297968314,0.07466556065263573
2010,10.299999301348668,2.17853752389418,7.809,6.330828145182043,17.157810013712236,91.68,2011.1,15.600077724480544,58.0783,104.0,47.02,100.0,34.5228,69.1761,64.88615791474896,True,False,False,False,17.012199524089652,-8.121461777454488,4.746025743014985
2011,0.426354776777345,11.8041858089129,7.83,6.409672578756921,17.194725043270065,87.4,1659.9,15.359026806493038,58.0752,105.0,80.07,100.0,34.5228,69.1761,77.33715124274772,True,False,False,False,92.426774883788,11.377831032135555,139.3388026113407
2012,10.299999301348668,6.44121280934117,7.875,6.480684134151277,17.235203667549897,97.18,2094.2,15.699849360414916,58.0737,105.0,57.1,100.0,34.5228,69.1761,59.60840770167968,True,False,False,False,50.72455087356172,-3.858786492007498,41.48922245522077
2013,5.60074465863221,7.38577178397855,7.921,6.458474793019239,17.269385933208728,94.63,2127.7,15.728341871007736,58.0676,104.0,65.72,100.0,34.5228,69.1761,71.35457994467065,True,False,False,False,58.502698300894096,1.78502712534634,54.54962484501369
2014,2.72454336219565,4.67399603536344,7.915,6.439438133724786,17.305711120545837,101.99,2096.6,15.763208291195689,58.0676,106.0,66.49,100.0,34.5228,69.1761,54.6670646031475,True,False,False,False,36.99467861990163,1.94945267316779,21.846238938593157
2015,1.45131466066431,-0.2732499966196445,9.032,6.339600162758528,17.33691071202379,95.97,2206.4,15.608983391877732,58.0676,107.0,60.01,100.0,34.5228,69.1761,78.8995737217729,True,False,False,False,-2.4679939694686293,-1.7245646572839544,0.07466556065263573
2016,2.26031420279821,4.38389195513914,10.116,6.259738651679514,17.362267910467104,102.04,2043.3,15.557437318261917,58.0676,107.0,73.21,100.0,34.5228,69.1761,63.4609966430125,True,False,False,False,44.34745101818754,2.1235777523409305,19.218508674333677
2017,2.6470032027451,4.97595150553832,11.184,6.266193914715114,17.390351282749602,99.84,2091.4,15.436804898345205,58.0676,107.0,75.61,100.0,34.5228,69.1761,71.89102671322588,True,False,False,False,55.651041637940565,2.32894830279322,24.760093385469073
2018,1.18922812944517,0.626149149168846,11.192,6.199163891020855,17.419459377931894,96.19,2253.2,15.275184670792587,58.2208,107.0,64.83,100.0,34.5228,69.1761,77.30880503470155,True,False,False,False,7.0078612774977245,-0.5630789802763241,0.39206275700486976
2019,3.91160341625552,2.30237251516833,11.187,6.20980157408614,17.449303268493857,109.41,2184.7,15.568505290066176,58.2208,107.0,64.32,100.0,34.5228,69.1761,61.69843545407025,True,False,False,False,25.756641327188106,-1.6092309010871904,5.300919198602541
2020,-2.35110067203466,5.60188791482224,11.71,6.237908646670804,17.480839359703,112.3,2050.8,15.646783806371928,58.6849,106.0,70.21,100.0,34.5228,69.1761,61.69261893439503,True,False,False,False,65.59810748256844,7.9529885868569,31.381148210231462
